GeneName	Description	Process	Comment
ATP5ME	Mitochondrial ATP synthase catalyzes ATP synthesis, utilizing an electrochemical gradient of protons across the inner membrane during oxidative phosphorylation. It is composed of two linked multi-subunit complexes: the soluble catalytic core, F1, and the membrane-spanning component, Fo, which comprises the proton channel. The F1 complex consists of 5 different subunits (alpha, beta, gamma, delta, and epsilon) assembled in a ratio of 3 alpha, 3 beta, and a single representative of the other 3. The Fo seems to have nine subunits (a, b, c, d, e, f, g, F6 and 8). This gene encodes the e subunit of the Fo complex. Alternative splicing results in multiple transcript variants.[provided by RefSeq, Jun 2010]	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
ATP5MF	Mitochondrial ATP synthase catalyzes ATP synthesis, utilizing an electrochemical gradient of protons across the inner membrane during oxidative phosphorylation. It is composed of two linked multi-subunit complexes: the soluble catalytic core, F1, and the membrane-spanning component, Fo, which comprises the proton channel. The catalytic portion of mitochondrial ATP synthase consists of five different subunits (alpha, beta, gamma, delta, and epsilon) assembled with a stoichiometry of 3 alpha, 3 beta, and single representatives of the gamma, delta, and epsilon subunits. The proton channel likely has nine subunits (a, b, c, d, e, f, g, F6 and 8). This gene encodes the f subunit of the Fo complex. Alternatively spliced transcript variants encoding different isoforms have been identified for this gene. This gene has multiple pseudogenes. Naturally occurring read-through transcription also exists between this gene and the downstream pentatricopeptide repeat domain 1 (PTCD1) gene. [provided by RefSeq, Nov 2010]	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
ATP5MG	Mitochondrial ATP synthase catalyzes ATP synthesis, utilizing an electrochemical gradient of protons across the inner membrane during oxidative phosphorylation. It is composed of two linked multi-subunit complexes: the soluble catalytic core, F1, and the membrane-spanning component, Fo, which comprises the proton channel. The F1 complex consists of 5 different subunits (alpha, beta, gamma, delta, and epsilon) assembled in a ratio of 3 alpha, 3 beta, and a single representative of the other 3. The Fo seems to have nine subunits (a, b, c, d, e, f, g, F6 and 8). This gene encodes the g subunit of the Fo complex. Alternative splicing results in multiple transcript variants.[provided by RefSeq, Jun 2010]	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
ATP5MGL	contributes_to proton-transporting ATP synthase activity, rotational mechanism	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
ATP5MPL	part of the mitochondrial proton-transporting ATP synthase complex	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
ATP5PB	This gene encodes a subunit of mitochondrial ATP synthase. Mitochondrial ATP synthase catalyzes ATP synthesis, utilizing an electrochemical gradient of protons across the inner membrane during oxidative phosphorylation. ATP synthase is composed of two linked multi-subunit complexes: the soluble catalytic core, F1, and the membrane-spanning component, Fo, comprising the proton channel. The catalytic portion of mitochondrial ATP synthase consists of 5 different subunits (alpha, beta, gamma, delta, and epsilon) assembled with a stoichiometry of 3 alpha, 3 beta, and a single representative of the other 3. The proton channel seems to have nine subunits (a, b, c, d, e, f, g, F6 and 8). This gene encodes the b subunit of the proton channel. [provided by RefSeq, Jul 2008]	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
ATP5PD	Mitochondrial ATP synthase catalyzes ATP synthesis, utilizing an electrochemical gradient of protons across the inner membrane during oxidative phosphorylation. It is composed of two linked multi-subunit complexes: the soluble catalytic core, F1, and the membrane-spanning component, Fo, which comprises the proton channel. The F1 complex consists of 5 different subunits (alpha, beta, gamma, delta, and epsilon) assembled in a ratio of 3 alpha, 3 beta, and a single representative of the other 3. The Fo seems to have nine subunits (a, b, c, d, e, f, g, F6 and 8). This gene encodes the d subunit of the Fo complex. Alternatively spliced transcript variants encoding different isoforms have been identified for this gene. In addition, three pseudogenes are located on chromosomes 9, 12 and 15. [provided by RefSeq, Jun 2010]	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
ATP5PF	Mitochondrial ATP synthase catalyzes ATP synthesis, utilizing an electrochemical gradient of protons across the inner membrane during oxidative phosphorylation. It is composed of two linked multi-subunit complexes: the soluble catalytic core, F1, and the membrane-spanning component, Fo, which comprises the proton channel. The F1 complex consists of 5 different subunits (alpha, beta, gamma, delta, and epsilon) assembled in a ratio of 3 alpha, 3 beta, and a single representative of the other 3. The Fo complex has nine subunits (a, b, c, d, e, f, g, F6 and 8). This gene encodes the F6 subunit of the Fo complex. The F6 subunit is required for F1 and Fo interactions. Alternatively spliced transcript variants encoding different isoforms have been identified for this gene. This gene has 1 or more pseudogenes. [provided by RefSeq, Feb 2016]	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
ATP5PO	The protein encoded by this gene is a component of the F-type ATPase found in the mitochondrial matrix. F-type ATPases are composed of a catalytic core and a membrane proton channel. The encoded protein appears to be part of the connector linking these two components and may be involved in transmission of conformational changes or proton conductance. [provided by RefSeq, Jul 2008]	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
ATP6V1E1	Subunit of the peripheral V1 complex of vacuolar ATPase essential for assembly or catalytic function. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
COQ8A	May be a chaperone-like protein essential for the proper conformation and functioning of protein complexes in the respiratory chain	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
COQ8B	The function of this protein is not yet clear. It is not known if it has protein kinase activity and what type of substrate it would phosphorylate (Ser, Thr or Tyr)	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
COX7B2	This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
COX8BP	Cytochrome c oxidase is the terminal enzyme of the mitochondrial respiratory chain. It is a multi-subunit enzyme complex that couples the transfer of electrons from cytochrome c to molecular oxygen and contributes to a proton electrochemical gradient across the inner mitochondrial membrane. The complex consists of 13 mitochondrial- and nuclear-encoded subunits. In addition a number of cytochrome c oxidase subunit pseudogenes have been found. This gene represents a subunit which has been inactivated by mutation and is nonfunctional in humans.	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
DMAC1	mitochondrial respiratory chain complex I assembly	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
DMAC2	contributes_to ubiquitin-protein transferase activity, mitochondrial respiratory chain complex I assembly	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
DMAC2L	This gene encodes a subunit of mitochondrial ATP synthase. Mitochondrial ATP synthase catalyzes ATP synthesis, utilizing an electrochemical gradient of protons across the inner membrane during oxidative phosphorylation. ATP synthase is composed of two linked multi-subunit complexes: the soluble catalytic core, F1, and the membrane-spanning component, Fo, comprising the proton channel. This gene encodes the subunit s, also known as factor B, of the proton channel. This subunit is necessary for the energy transduction activity of the ATP synthase complexes. 	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
DONSON	This gene lies downstream of the SON gene and spans 10 kb on chromosome 21. The function of this gene is unknown. [provided by RefSeq, Jul 2008],	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
ETFRF1	similarity:Belongs to the complex I LYR family	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
FMC1	sequence caution:Translation N-terminally shortenedsimilarity:Belongs to the UPF0562 family	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
GPD1	This gene encodes a member of the NAD-dependent glycerol-3-phosphate dehydrogenase family. The encoded protein plays a critical role in carbohydrate and lipid metabolism by catalyzing the reversible conversion of dihydroxyacetone phosphate (DHAP) and reduced nicotine adenine dinucleotide (NADH) to glycerol-3-phosphate (G3P) and NAD+. The encoded cytosolic protein and mitochondrial glycerol-3-phosphate dehydrogenase also form a glycerol phosphate shuttle that facilitates the transfer of reducing equivalents from the cytosol to mitochondria. Mutations in this gene are a cause of transient infantile hypertriglyceridemia. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Mar 2012],	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
NDUFAF8	mitochondrial respiratory chain complex I assembly	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
NIPSNAP2	This gene encodes a member of the NipSnap family of proteins that may be involved in vesicular transport. The encoded protein is localized to mitochondria and plays a role in oxidative phosphorylation. A pseudogene of this gene is located on the long arm of chromosome 2. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Feb 2011]	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
SDHAF3	similarity:Belongs to the ACN9 family	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
SDHAF4	similarity:Belongs to the UPF0369 family	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
UQCC3	Complex III is a mitochondrial inner membrane protein complex that transfers electrons from ubiquinol to cytochrome c. This gene encodes a protein that functions in complex III assembly. Mutations in this gene result in Mitochondrial complex III deficiency, nuclear type 9. [provided by RefSeq, Dec 2014],	Oxidative Phosphorylation	mitomitoXplorer | These genes are present in mitomitoXplorer only
CYC1	This is the heme-containing component of the cytochrome b-c1 complex, which accepts electrons from Rieske protein and transfers electrons to cytochrome c in the mitochondrial respiratory chain	Oxidative Phosphorylation	present in both datasets 
SDHB	Iron-sulfur protein (IP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)	Oxidative Phosphorylation	present in both datasets 
SDHA	Flavoprotein (FP) subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)	Oxidative Phosphorylation	present in both datasets 
UQCRC1	This is a component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain. This protein may mediate formation of the complex between cytochromes c and c1	Oxidative Phosphorylation	present in both datasets 
COX5A	This is the heme A-containing chain of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport	Oxidative Phosphorylation	present in both datasets 
UQCRFS1	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesisThe transit peptide of the Rieske protein seems to form part of the bc1 complex and is considered to be the subunit 11/IX of that complex (By similarity)	Oxidative Phosphorylation	present in both datasets 
UQCRC2	This is a component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain. The core protein 2 is required for the assembly of the complex	Oxidative Phosphorylation	present in both datasets 
SDHD	Membrane-anchoring subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q) (By similarity)	Oxidative Phosphorylation	present in both datasets 
UQCRQ	This gene encodes a ubiquinone-binding protein of low molecular mass. This protein is a small core-associated protein and a subunit of ubiquinol-cytochrome c reductase complex III, which is part of the mitochondrial respiratory chain. [provided by RefSeq, Jul 2008],	Oxidative Phosphorylation	present in both datasets 
NDUFS1	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity). This is the largest subunit of complex I and it is a component of the iron-sulfur (IP) fragment of the enzyme. It may form part of the active site crevice where NADH is oxidized	Oxidative Phosphorylation	present in both datasets 
UQCR10	UCRC is a subunit of mitochondrial complex III (ubiquinol-cytochrome c reductase; EC 1.10.2.2), which forms the middle segment of the respiratory chain of the inner mitochondrial membrane (Schagger et al 1995 [PubMed 8592474]).[supplied by OMIM, Mar 2008],	Oxidative Phosphorylation	present in both datasets 
COX11	Exerts its effect at some terminal stage of cytochrome c oxidase synthesis, probably by being involved in the insertion of the copper B into subunit I (By similarity)	Oxidative Phosphorylation	present in both datasets 
ETFDH	This gene encodes a component of the electron-transfer system in mitochondria and is essential for electron transfer from a number of mitochondrial flavin-containing dehydrogenases to the main respiratory chain. Mutations in this gene are associated with glutaric acidemia. Alternatively spliced transcript variants that encode distinct isoforms have been observed. [provided by RefSeq, Aug 2013],	Oxidative Phosphorylation	present in both datasets 
UQCRH	This is a component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain. This protein may mediate formation of the complex between cytochromes c and c1	Oxidative Phosphorylation	present in both datasets 
HIGD2A	The protein encoded by this gene is a subunit of the cytochrome c oxidase complex (complex IV), which is the terminal enzyme in the mitochondrial respiratory chain. The encoded protein is an inner mitochondrial membrane protein and is a functional ortholog of the yeast respiratory supercomplex factor 1 (Rcf1). In mouse, the orthologous protein enhances cell survival under conditions of hypoxia. [provided by RefSeq, Sep 2016],	Oxidative Phosphorylation	present in both datasets 
COX6A1	This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport	Oxidative Phosphorylation	present in both datasets 
COX15	May be involved in the biosynthesis of heme A	Oxidative Phosphorylation	present in both datasets 
ETFA	ETFA participates in catalyzing the initial step of the mitochondrial fatty acid beta-oxidation. It shuttles electrons between primary flavoprotein dehydrogenases and the membrane-bound electron transfer flavoprotein ubiquinone oxidoreductase. Defects in electron-transfer-flavoprotein have been implicated in type II glutaricaciduria in which multiple acyl-CoA dehydrogenase deficiencies result in large excretion of glutaric, lactic, ethylmalonic, butyric, isobutyric, 2-methyl-butyric, and isovaleric acids. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008],	Oxidative Phosphorylation	present in both datasets 
NDUFS7	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity)	Oxidative Phosphorylation	present in both datasets 
NDUFV2	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity)	Oxidative Phosphorylation	present in both datasets 
NDUFB8	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
NDUFS8	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity). May donate electrons to ubiquinone	Oxidative Phosphorylation	present in both datasets 
NDUFV1	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity)	Oxidative Phosphorylation	present in both datasets 
NDUFS2	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity)	Oxidative Phosphorylation	present in both datasets 
SURF1	This gene encodes a protein localized to the inner mitochondrial membrane and thought to be involved in the biogenesis of the cytochrome c oxidase complex. The protein is a member of the SURF1 family, which includes the related yeast protein SHY1 and rickettsial protein RP733. The gene is located in the surfeit gene cluster, a group of very tightly linked genes that do not share sequence similarity, where it shares a bidirectional promoter with SURF2 on the opposite strand. Defects in this gene are a cause of Leigh syndrome, a severe neurological disorder that is commonly associated with systemic cytochrome c oxidase deficiency. [provided by RefSeq, Jul 2008],	Oxidative Phosphorylation	present in both datasets 
SDHC	Mono-heme cytochrome b. May act as a mediator of low potential couples in an electron flow through cardiac complex II. Is involved in system II of the mitochondrial electron transport chain which is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)	Oxidative Phosphorylation	present in both datasets 
NDUFB5	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
SDHAF2	This gene encodes a mitochondrial protein needed for the flavination of a succinate dehydrogenase complex subunit required for activity of the complex. Mutations in this gene are associated with paraganglioma.[provided by RefSeq, Jul 2010],	Oxidative Phosphorylation	present in both datasets 
COQ10A	similarity:Belongs to the COQ10 family	Oxidative Phosphorylation	present in both datasets 
NDUFB9	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
COX6C	This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport	Oxidative Phosphorylation	present in both datasets 
NDUFA6	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
COX17	Copper chaperone for cytochrome c oxidase (COX). Binds two copper ions and deliver them to the Cu(A) site of COX (By similarity)	Oxidative Phosphorylation	present in both datasets 
COX6B1	Connects the two COX monomers into the physiological dimeric form (By similarity)	Oxidative Phosphorylation	present in both datasets 
NDUFS4	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
UQCC1	This gene encodes a transmembrane protein that is structurally similar to the mouse basic fibroblast growth factor repressed ZIC-binding protein. In mouse this protein may be involved in fibroblast growth factor regulated growth control. In humans, polymorphisms in this gene are associated with variation in human height and osteoarthritis. Alternate splicing results in multiple transcript variants. [provided by RefSeq, May 2010],	Oxidative Phosphorylation	present in both datasets 
ATPAF2	May play a role in the assembly of the F1 component of the mitochondrial ATP synthase (ATPase)	Oxidative Phosphorylation	present in both datasets 
NDUFA9	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
COA6	This gene encodes a member of the cytochrome c oxidase subunit 6B family. The encoded protein associates with cytochrome c oxidase may act has an cytochrome c oxidase mitochondrial respiratory complex VI assembly factor. Mutations in this gene may be associated with fatal infantile cardiomyopathy. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Sep 2014],	Oxidative Phosphorylation	present in both datasets 
RTN4IP1	This gene encodes a mitochondrial protein that interacts with reticulon 4, which is a potent inhibitor of regeneration following spinal cord injury. This interaction may be important for reticulon-induced inhibition of neurite growth. Mutations in this gene can cause optic atrophy 10, with or without ataxia, mental retardation, and seizures. There is a pseudogene for this gene on chromosome 12. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2016],	Oxidative Phosphorylation	present in both datasets 
NDUFAF4	Plays a role in complex I activity. May be a complex I assembly factor. May be involved in cell proliferation and survival of hormone-dependent tumor cells. May be a regulator of breast tumor cell invasion	Oxidative Phosphorylation	present in both datasets 
SDHAF1	The succinate dehydrogenase (SDH) complex (or complex II) of the mitochondrial respiratory chain is composed of 4 individual subunits. The protein encoded by this gene resides in the mitochondria, and is essential for SDH assembly, but does not physically associate with the complex in vivo. Mutations in this gene are associated with SDH-defective infantile leukoencephalopathy (mitochondrial complex II deficiency).[provided by RefSeq, Mar 2010],	Oxidative Phosphorylation	present in both datasets 
NDUFAF5	Putative methyltransferase involved in mitochondrial complex I assembly at early stages	Oxidative Phosphorylation	present in both datasets 
NDUFS6	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
COX4I1	This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport	Oxidative Phosphorylation	present in both datasets 
COX5B	This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport	Oxidative Phosphorylation	present in both datasets 
NDUFB6	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
NDUFA5	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
BCS1L	This gene encodes a homolog of the S. cerevisiae bcs1 protein which is involved in the assembly of complex III of the mitochondrial respiratory chain. The encoded protein does not contain a mitochondrial targeting sequence but experimental studies confirm that it is imported into mitochondria. Mutations in this gene are associated with mitochondrial complex III deficiency and the GRACILE syndrome. Several alternatively spliced transcripts encoding two different isoforms have been described. [provided by RefSeq, Jan 2016],	Oxidative Phosphorylation	present in both datasets 
CMC1	Required for mitochondrial cytochrome c oxidase (COX) assembly and respiration. Binds copper. May be involved in copper trafficking and distribution to COX and SOD1 (By similarity)	Oxidative Phosphorylation	present in both datasets 
NDUFAF1	This gene encodes a complex I assembly factor protein. Complex I (NADH-ubiquinone oxidoreductase) catalyzes the transfer of electrons from NADH to ubiquinone (coenzyme Q) in the first step of the mitochondrial respiratory chain, resulting in the translocation of protons across the inner mitochondrial membrane. The encoded protein is required for assembly of complex I, and mutations in this gene are a cause of mitochondrial complex I deficiency. Alternatively spliced transcript variants have been observed for this gene, and a pseudogene of this gene is located on the long arm of chromosome 19. [provided by RefSeq, Dec 2011],	Oxidative Phosphorylation	present in both datasets 
NDUFB10	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
NDUFA2	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
NDUFS5	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
CYCS	Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of cytochrome reductase. Cytochrome c then transfers this electron to the cytochrome oxidase complex, the final protein carrier in the mitochondrial electron-transport chainPlays a role in apoptosis. Suppression of the anti- apoptotic members or activation of the pro-apoptotic members of the Bcl-2 family leads to altered mitochondrial membrane permeability resulting in release of cytochrome c into the cytosol. Binding of cytochrome c to Apaf-1 triggers the activation of caspase-9, which then accelerates apoptosis by activating other caspases	Oxidative Phosphorylation	present in both datasets 
LYRM7	Inner mitochondrial membrane complex III (CIII) is the main enzyme complex in the mitochondrial respiratory chain, and Rieske Fe-S protein (UQCRFS1) is the last catalytic subunit added to the complex. The protein encoded by this gene is a nuclear-encoded mitochondrial matrix protein that stabilizes UQCRFS1 and chaperones it to the CIII complex. Defects in this gene are a cause of mitochondrial complex III deficiency, nuclear type 8. Three transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Jun 2014],	Oxidative Phosphorylation	present in both datasets 
COX7A2	This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport	Oxidative Phosphorylation	present in both datasets 
HCCS	Links covalently the heme group to the apoprotein of cytochrome c (By similarity)	Oxidative Phosphorylation	present in both datasets 
NDUFA7	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
NDUFB2	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
ETFB	This gene encodes electron-transfer-flavoprotein, beta polypeptide, which shuttles electrons between primary flavoprotein dehydrogenases involved in mitochondrial fatty acid and amino acid catabolism and the membrane-bound electron transfer flavoprotein ubiquinone oxidoreductase. The gene deficiencies have been implicated in type II glutaricaciduria. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jul 2008],	Oxidative Phosphorylation	present in both datasets 
COX7C	This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport	Oxidative Phosphorylation	present in both datasets 
COQ10B	similarity:Belongs to the COQ10 family	Oxidative Phosphorylation	present in both datasets 
COX7A1	This protein is one of the nuclear-coded polypeptide chains of cytochrome c oxidase, the terminal oxidase in mitochondrial electron transport	Oxidative Phosphorylation	present in both datasets 
COX14	This gene encodes a small single-pass transmembrane protein that localizes to mitochondria. This protein may play a role in coordinating the early steps of cytochrome c oxidase (COX; also known as complex IV) subunit assembly and, in particular, the synthesis and assembly of the COX I subunit of the holoenzyme. Mutations in this gene have been associated with mitochondrial complex IV deficiency. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2012],	Oxidative Phosphorylation	present in both datasets 
NDUFA12	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
GPD2	The protein encoded by this gene localizes to the inner mitochondrial membrane and catalyzes the conversion of glycerol-3-phosphate to dihydroxyacetone phosphate, using FAD as a cofactor. Along with GDP1, the encoded protein constitutes the glycerol phosphate shuttle, which reoxidizes NADH formed during glycolysis. Two transcript variants encoding the same protein have been found for this gene.[provided by RefSeq, Jan 2010],	Oxidative Phosphorylation	present in both datasets 
NDUFA10	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
NDUFC2	Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone	Oxidative Phosphorylation	present in both datasets 
